emotion,word_warriner,V_c,A_c,D_c,norm,V_s2,A_s2,D_s2
Anger,anger,-2.5,0.9299999999999997,0.13999999999999968,2.671048483273937,-0.9359620447382216,0.34817788064261834,0.0524138745053403
Anxiety,anxiety,-2.62,-0.21999999999999975,-1.6099999999999999,3.0830017839761297,-0.8498211105869038,-0.07135902455309871,-0.5222183160476774
Fear,fear,-2.07,1.1399999999999997,-1.6800000000000002,2.8994654679785374,-0.7139246950380727,0.3931759190064747,-0.5794171437990155
Surprise,surprise,2.4400000000000004,1.5700000000000003,0.16999999999999993,2.9064411227478875,0.8395146837494195,0.5401795301174543,0.058490777146475915
Guilt,guilt,-2.71,-0.5199999999999996,-0.6500000000000004,2.8349603171825883,-0.9559216697231321,-0.1834240842273167,-0.2292801052841462
Disgust,disgust,-1.6800000000000002,0.0,-0.16000000000000014,1.687601848778319,-0.9954954725939522,0.0,-0.09480909262799551
Sad,sad,-2.9,-1.5099999999999998,-1.1600000000000001,3.469250639547394,-0.8359153896065405,-0.4352524959675435,-0.3343661558426163
Regard,regard,0.7000000000000002,-1.6099999999999999,1.38,2.2330472453577865,0.313472991426943,-0.7209878802819687,0.6179896116702589
Satisfaction,satisfaction,2.1799999999999997,-1.8199999999999998,1.4400000000000004,3.1840854259896982,0.6846549976976192,-0.5715927044998472,0.4522491727910881
WarmHeartedness,warmth,2.5300000000000002,-0.6699999999999999,1.3200000000000003,2.9312454690796543,0.8631143405381071,-0.22857178188163305,0.4503205254981429
Happiness,happy,3.4700000000000006,1.0499999999999998,2.21,4.2458803562983265,0.8172627838776976,0.24729853690823692,0.5205045395878131
Pride,pride,1.5,0.54,0.8300000000000001,1.7973591738993073,0.8345577343596844,0.3004407843694864,0.46178861301235874
Love,love,3.0,0.3600000000000003,0.9199999999999999,3.1584806473999487,0.9498237712710352,0.11397885255252432,0.29127928985645074
