,Anger,Anxiety,Fear,Surprise,Guilt,Disgust,Sad,Regard,Satisfaction,WarmHeartedness,Happiness,Pride,Love
Anger,0.0,2.097474672075922,1.8818607812481771,4.981375312100064,1.6645419790440847,1.2756566936288145,2.7934924377918042,4.2695667227483405,5.581657459930696,5.408631989699429,6.319825946970376,4.077768997871263,5.584200927617129
Anxiety,2.097474672075922,0.0,1.4686728703152376,5.654741373396312,1.0098019607824096,1.7419816302131315,1.394632568098135,4.67916659246067,5.907833782360503,5.942213392331178,7.300232872997957,4.848257418908365,6.190452325961327
Fear,1.8818607812481771,1.4686728703152376,0.0,4.893618293246828,2.0557480390359117,1.939613363534083,2.825207956947594,4.959737896300569,6.046362542884772,5.782395697286722,6.769918758744452,4.405110668303352,5.750939053754613
Surprise,4.981375312100064,5.654741373396312,4.893618293246828,0.0,5.618095762800773,4.421334640128477,6.306417366460929,3.821531106768595,3.6294076651707234,2.51956345425155,2.3436936659896492,1.5427572718998934,1.5297712247261024
Guilt,1.6645419790440847,1.0098019607824096,2.0557480390359117,5.618095762800773,0.0,1.2535549449465704,1.1297344820797497,4.115470811462523,5.474504543792068,5.600089285002517,6.988340289367713,4.5867308619538605,5.986935777173495
Disgust,1.2756566936288145,1.7419816302131315,1.939613363534083,4.421334640128477,1.2535549449465704,0.0,2.1836895383730717,3.260076686214605,4.557630963559906,4.512582409219803,5.765578895479621,3.3740331948574545,4.816471737693474
Sad,2.7934924377918042,1.394632568098135,2.825207956947594,6.306417366460929,1.1297344820797497,2.1836895383730717,0.0,4.4069944406590755,5.715111547467818,6.028341397100864,7.647705538264402,5.2461986237655935,6.5294180445120835
Regard,4.2695667227483405,4.67916659246067,4.959737896300569,3.821531106768595,4.115470811462523,3.260076686214605,4.4069944406590755,0.0,1.4960280746028793,2.0581788066152074,3.92904568565956,2.3590252224170896,3.0630866784993205
Satisfaction,5.581657459930696,5.907833782360503,6.046362542884772,3.6294076651707234,5.474504543792068,4.557630963559906,5.715111547467818,1.4960280746028793,0.0,1.208056290079233,3.239428962024017,2.530632332046676,2.386461816162161
WarmHeartedness,5.408631989699429,5.942213392331178,5.782395697286722,2.51956345425155,5.600089285002517,4.512582409219803,6.028341397100864,2.0581788066152074,1.208056290079233,0.0,2.1526959841092284,1.6628589837986865,1.2007497657713704
Happiness,6.319825946970376,7.300232872997957,6.769918758744452,2.3436936659896492,6.988340289367713,5.765578895479621,7.647705538264402,3.92904568565956,3.239428962024017,2.1526959841092284,0.0,2.458739514466712,1.536587127370264
Pride,4.077768997871263,4.848257418908365,4.405110668303352,1.5427572718998934,4.5867308619538605,3.3740331948574545,5.2461986237655935,2.3590252224170896,2.530632332046676,1.6628589837986865,2.458739514466712,0.0,1.5134397906755326
Love,5.584200927617129,6.190452325961327,5.750939053754613,1.5297712247261024,5.986935777173495,4.816471737693474,6.5294180445120835,3.0630866784993205,2.386461816162161,1.2007497657713704,1.536587127370264,1.5134397906755326,0.0
