emotion_i,emotion_j,behavioral_dissim,predicted_ell,residual
Anxiety,Surprise,0.50172,1.11657,-0.61484
Surprise,Disgust,0.6175,1.20724,-0.58975
Anger,Regard,1.59764,1.01536,0.58227
Surprise,Guilt,0.70347,1.24139,-0.53792
Anger,Pride,1.50907,0.97865,0.53042
Anger,Happiness,1.47743,0.97578,0.50165
Anger,Guilt,0.3665,0.83901,-0.47251
Surprise,Happiness,1.23138,0.7711,0.46028
Sad,Love,0.92447,1.35999,-0.43552
Disgust,Regard,1.51756,1.09778,0.41978
Guilt,Satisfaction,1.59895,1.20012,0.39883
Surprise,Pride,1.14293,0.74526,0.39767
Fear,Surprise,0.63676,1.01386,-0.3771
Satisfaction,Happiness,0.2948,0.6641,-0.36929
Anger,WarmHeartedness,1.42603,1.0615,0.36452
Surprise,Sad,0.8862,1.24714,-0.36095
Anger,Satisfaction,1.43214,1.07909,0.35305
Sad,Satisfaction,1.51378,1.16548,0.3483
Guilt,Happiness,1.6446,1.32933,0.31526
Anxiety,Love,1.05856,1.36822,-0.30966
Fear,Regard,1.08186,1.38658,-0.30473
Regard,Love,0.41383,0.71361,-0.29978
Surprise,WarmHeartedness,1.14343,0.85618,0.28725
Disgust,Satisfaction,1.45048,1.16464,0.28584
Surprise,Love,1.0089,0.72574,0.28317
Surprise,Satisfaction,1.22244,0.94616,0.27628
Guilt,Love,1.14188,1.41789,-0.27601
Anger,Surprise,0.74348,1.01007,-0.26659
Disgust,Happiness,1.45656,1.19389,0.26267
Anger,Disgust,0.43419,0.69654,-0.26236
Disgust,Pride,1.4591,1.20584,0.25326
Anxiety,Fear,0.31293,0.55988,-0.24694
Satisfaction,Pride,0.44693,0.68494,-0.23801
Anger,Love,1.30726,1.07019,0.23706
Anger,Anxiety,0.68106,0.91599,-0.23493
Guilt,Regard,1.37051,1.15401,0.2165
Fear,Happiness,1.53294,1.31693,0.21601
Disgust,WarmHeartedness,1.42464,1.21699,0.20765
Guilt,Pride,1.55441,1.34714,0.20727
Fear,Love,1.08228,1.28719,-0.2049
Regard,Pride,0.49727,0.70153,-0.20426
Happiness,Love,0.75414,0.55252,0.20161
WarmHeartedness,Love,0.38162,0.5802,-0.19858
Pride,Love,0.732,0.54236,0.18964
Sad,Regard,0.95794,1.14282,-0.18488
Sad,Happiness,1.54724,1.36835,0.17889
Surprise,Regard,1.15673,0.9872,0.16953
Anxiety,Pride,1.24246,1.40439,-0.16194
Anxiety,Disgust,0.55652,0.71578,-0.15926
Satisfaction,Love,0.82352,0.67026,0.15326
Anger,Fear,0.73841,0.88661,-0.1482
Guilt,Disgust,0.45061,0.5965,-0.14589
Anxiety,Regard,1.13907,1.28019,-0.14112
Guilt,WarmHeartedness,1.42868,1.28794,0.14074
Sad,Pride,1.26386,1.39407,-0.13021
Anxiety,Satisfaction,1.42797,1.29789,0.13007
Regard,Satisfaction,0.64776,0.52017,0.12759
Fear,Guilt,0.55752,0.68251,-0.12499
Fear,Disgust,0.62943,0.75399,-0.12456
Anger,Sad,0.82006,0.94148,-0.12142
Fear,Sad,0.57586,0.6968,-0.12094
Anxiety,Sad,0.70703,0.58685,0.12018
Regard,WarmHeartedness,0.47178,0.58369,-0.11191
Sad,WarmHeartedness,1.15787,1.2591,-0.10122
Anxiety,WarmHeartedness,1.28882,1.38574,-0.09693
WarmHeartedness,Happiness,0.48125,0.57626,-0.09501
Fear,Satisfaction,1.48455,1.40178,0.08277
Fear,WarmHeartedness,1.33513,1.41462,-0.0795
Disgust,Sad,0.76902,0.69683,0.07219
Anxiety,Guilt,0.55027,0.59753,-0.04726
Fear,Pride,1.24743,1.29399,-0.04656
Anxiety,Happiness,1.4687,1.42542,0.04328
Guilt,Sad,0.5184,0.55193,-0.03353
Happiness,Pride,0.45359,0.47523,-0.02165
Regard,Happiness,0.68867,0.67687,0.0118
Disgust,Love,1.28548,1.29704,-0.01157
WarmHeartedness,Pride,0.58648,0.59413,-0.00766
Satisfaction,WarmHeartedness,0.53763,0.54336,-0.00573
